# Connected unlabeled graphs with 6 nodes
# Total number of unique graphs: 112

# Graph 1
0 1 1 1 1 1
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0

# Graph 2
0 1 1 1 1 0
1 0 0 0 0 1
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
0 1 0 0 0 0

# Graph 3
0 1 1 1 0 0
1 0 0 0 1 1
1 0 0 0 0 0
1 0 0 0 0 0
0 1 0 0 0 0
0 1 0 0 0 0

# Graph 4
0 1 1 1 0 0
1 0 0 0 1 0
1 0 0 0 0 1
1 0 0 0 0 0
0 1 0 0 0 0
0 0 1 0 0 0

# Graph 5
0 1 1 1 0 0
1 0 0 0 1 0
1 0 0 0 0 0
1 0 0 0 0 0
0 1 0 0 0 1
0 0 0 0 1 0

# Graph 6
0 1 1 0 0 0
1 0 0 1 0 0
1 0 0 0 1 0
0 1 0 0 0 1
0 0 1 0 0 0
0 0 0 1 0 0

# Graph 7
0 1 1 1 1 1
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0

# Graph 8
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
0 1 0 0 0 0

# Graph 9
0 1 1 1 1 0
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 0 1
1 0 0 0 0 0
0 0 0 1 0 0

# Graph 10
0 1 1 1 1 0
1 0 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 0
1 0 0 0 0 0
0 1 1 0 0 0

# Graph 11
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 1
1 0 0 0 0 0
0 1 0 0 0 0
0 0 1 0 0 0

# Graph 12
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 0
1 0 0 0 0 1
0 1 0 0 0 0
0 0 0 1 0 0

# Graph 13
0 1 1 1 0 0
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 1 1
0 0 0 1 0 0
0 0 0 1 0 0

# Graph 14
0 1 1 1 0 0
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 1 0
0 0 0 1 0 1
0 0 0 0 1 0

# Graph 15
0 1 1 1 0 0
1 0 0 0 1 1
1 0 0 0 1 0
1 0 0 0 0 0
0 1 1 0 0 0
0 1 0 0 0 0

# Graph 16
0 1 1 1 0 0
1 0 0 0 1 0
1 0 0 0 1 0
1 0 0 0 0 1
0 1 1 0 0 0
0 0 0 1 0 0

# Graph 17
0 1 1 1 0 0
1 0 0 0 1 0
1 0 0 0 1 0
1 0 0 0 0 0
0 1 1 0 0 1
0 0 0 0 1 0

# Graph 18
0 1 1 1 0 0
1 0 0 0 1 0
1 0 0 0 0 1
1 0 0 0 0 0
0 1 0 0 0 1
0 0 1 0 1 0

# Graph 19
0 1 1 0 0 0
1 0 0 1 0 0
1 0 0 0 1 0
0 1 0 0 0 1
0 0 1 0 0 1
0 0 0 1 1 0

# Graph 20
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0

# Graph 21
0 1 1 1 1 1
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 1 0
1 0 0 1 0 0
1 0 0 0 0 0

# Graph 22
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 0
0 1 0 0 0 0

# Graph 23
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 0 1
1 1 0 0 0 0
1 0 0 0 0 0
0 0 1 0 0 0

# Graph 24
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 1
0 0 0 0 1 0

# Graph 25
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 1
1 0 0 0 0 0
1 0 0 0 0 0
0 1 1 0 0 0

# Graph 26
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 0
1 0 0 0 1 0
1 0 0 1 0 0
0 1 0 0 0 0

# Graph 27
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 0
1 0 0 0 0 1
1 0 0 0 0 0
0 1 0 1 0 0

# Graph 28
0 1 1 1 1 0
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 0 1
1 0 0 0 0 1
0 0 0 1 1 0

# Graph 29
0 1 1 1 1 0
1 0 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 0
0 1 1 1 0 0

# Graph 30
0 1 1 1 0 0
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 1
0 0 1 0 0 0
0 0 0 1 0 0

# Graph 31
0 1 1 1 0 0
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 0
0 0 1 0 0 1
0 0 0 0 1 0

# Graph 32
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 1
1 0 0 0 1 0
0 1 0 1 0 0
0 0 1 0 0 0

# Graph 33
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 0
1 0 0 0 1 1
0 1 0 1 0 0
0 0 0 1 0 0

# Graph 34
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 0
1 0 0 0 0 1
0 1 0 0 0 1
0 0 0 1 1 0

# Graph 35
0 1 1 1 0 0
1 0 1 0 0 0
1 1 0 0 0 0
1 0 0 0 1 1
0 0 0 1 0 1
0 0 0 1 1 0

# Graph 36
0 1 1 1 0 0
1 0 0 0 1 1
1 0 0 0 1 1
1 0 0 0 0 0
0 1 1 0 0 0
0 1 1 0 0 0

# Graph 37
0 1 1 1 0 0
1 0 0 0 1 1
1 0 0 0 1 0
1 0 0 0 0 1
0 1 1 0 0 0
0 1 0 1 0 0

# Graph 38
0 1 1 1 0 0
1 0 0 0 1 0
1 0 0 0 1 0
1 0 0 0 0 1
0 1 1 0 0 1
0 0 0 1 1 0

# Graph 39
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 0 0 0
1 1 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 0

# Graph 40
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 1 0 0
1 1 1 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0

# Graph 41
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 0
1 0 1 0 0 0
1 0 0 0 0 0

# Graph 42
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 1
1 0 0 0 1 0

# Graph 43
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 0 0 1
1 1 0 0 0 0
1 1 0 0 0 0
0 0 1 0 0 0

# Graph 44
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 1 0 0
1 1 1 0 0 0
1 0 0 0 0 0
0 1 0 0 0 0

# Graph 45
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 0
1 1 0 0 0 0
1 0 1 0 0 0
0 1 0 0 0 0

# Graph 46
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 1
0 1 0 0 1 0

# Graph 47
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 1 0 0
1 1 1 0 0 0
1 0 0 0 0 1
0 0 0 0 1 0

# Graph 48
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 1
1 0 1 0 0 0
0 0 0 1 0 0

# Graph 49
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 0 1
1 1 0 0 0 1
1 0 0 0 0 0
0 0 1 1 0 0

# Graph 50
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 0 1
1 1 0 0 0 0
1 0 0 0 0 1
0 0 1 0 1 0

# Graph 51
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 1
1 0 0 0 1 0
1 0 0 1 0 0
0 1 1 0 0 0

# Graph 52
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 0
0 1 1 1 0 0

# Graph 53
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 0
1 0 0 0 1 1
1 0 0 1 0 0
0 1 0 1 0 0

# Graph 54
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 0
1 0 0 0 0 1
1 0 0 0 0 1
0 1 0 1 1 0

# Graph 55
0 1 1 1 1 0
1 0 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 1
0 1 1 1 1 0

# Graph 56
0 1 1 1 0 0
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 1 0
0 0 1 1 0 1
0 0 0 0 1 0

# Graph 57
0 1 1 1 0 0
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 1
0 0 1 0 0 1
0 0 0 1 1 0

# Graph 58
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 1
1 0 0 0 1 1
0 1 0 1 0 0
0 0 1 1 0 0

# Graph 59
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 0
1 0 0 0 1 1
0 1 0 1 0 1
0 0 0 1 1 0

# Graph 60
0 1 1 1 0 0
1 0 0 0 1 1
1 0 0 0 1 1
1 0 0 0 1 0
0 1 1 1 0 0
0 1 1 0 0 0

# Graph 61
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 0 0 0
1 1 0 0 0 0
1 1 0 0 0 0
1 1 0 0 0 0

# Graph 62
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 0 0
1 1 1 0 0 0
1 1 0 0 0 0
1 0 0 0 0 0

# Graph 63
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 0 0 1
1 1 0 0 0 0
1 1 0 0 0 0
1 0 1 0 0 0

# Graph 64
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 1 0 0
1 1 1 0 0 0
1 0 0 0 0 1
1 0 0 0 1 0

# Graph 65
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 1 0
1 0 1 1 0 0
1 0 0 0 0 0

# Graph 66
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 1
1 0 1 0 0 0
1 0 0 1 0 0

# Graph 67
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 0 1
1 1 1 0 0 0
1 1 0 0 0 0
0 0 1 0 0 0

# Graph 68
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 0 0
1 1 1 0 0 0
1 1 0 0 0 1
0 0 0 0 1 0

# Graph 69
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 0 0 1
1 1 0 0 0 1
1 1 0 0 0 0
0 0 1 1 0 0

# Graph 70
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 1 0 0
1 1 1 0 0 0
1 0 0 0 0 1
0 1 0 0 1 0

# Graph 71
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 1
1 1 0 0 0 0
1 0 1 0 0 0
0 1 1 0 0 0

# Graph 72
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 0
1 1 0 0 1 0
1 0 1 1 0 0
0 1 0 0 0 0

# Graph 73
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 0
1 1 0 0 0 1
1 0 1 0 0 0
0 1 0 1 0 0

# Graph 74
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 0
1 1 0 0 0 0
1 0 1 0 0 1
0 1 0 0 1 0

# Graph 75
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 1
1 0 1 0 0 1
0 0 0 1 1 0

# Graph 76
0 1 1 1 1 0
1 0 1 1 0 0
1 1 0 0 0 1
1 1 0 0 0 1
1 0 0 0 0 1
0 0 1 1 1 0

# Graph 77
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 1
1 0 0 0 1 1
1 0 0 1 0 0
0 1 1 1 0 0

# Graph 78
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 1
1 0 0 0 0 1
1 0 0 0 0 1
0 1 1 1 1 0

# Graph 79
0 1 1 1 0 0
1 0 1 0 1 0
1 1 0 0 0 1
1 0 0 0 1 1
0 1 0 1 0 1
0 0 1 1 1 0

# Graph 80
0 1 1 1 0 0
1 0 0 0 1 1
1 0 0 0 1 1
1 0 0 0 1 1
0 1 1 1 0 0
0 1 1 1 0 0

# Graph 81
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 0 0
1 1 1 0 0 0
1 1 0 0 0 0
1 1 0 0 0 0

# Graph 82
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 1 0
1 1 1 0 0 0
1 1 1 0 0 0
1 0 0 0 0 0

# Graph 83
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 0 1
1 1 1 0 0 0
1 1 0 0 0 0
1 0 1 0 0 0

# Graph 84
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 0 0
1 1 1 0 0 0
1 1 0 0 0 1
1 0 0 0 1 0

# Graph 85
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 0 0 1
1 1 0 0 0 1
1 1 0 0 0 0
1 0 1 1 0 0

# Graph 86
0 1 1 1 1 1
1 0 1 1 0 0
1 1 0 0 1 0
1 1 0 0 0 1
1 0 1 0 0 1
1 0 0 1 1 0

# Graph 87
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 1 0
1 1 1 0 0 1
1 1 1 0 0 0
0 0 0 1 0 0

# Graph 88
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 0 1
1 1 1 0 0 1
1 1 0 0 0 0
0 0 1 1 0 0

# Graph 89
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 0 1
1 1 1 0 0 0
1 1 0 0 0 1
0 0 1 0 1 0

# Graph 90
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 0 0 1
1 1 0 0 0 1
1 1 0 0 0 1
0 0 1 1 1 0

# Graph 91
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 1
1 1 0 0 1 0
1 0 1 1 0 0
0 1 1 0 0 0

# Graph 92
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 0
1 1 0 0 1 0
1 0 1 1 0 1
0 1 0 0 1 0

# Graph 93
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 0
1 1 0 0 0 1
1 0 1 0 0 1
0 1 0 1 1 0

# Graph 94
0 1 1 1 1 0
1 0 1 0 0 1
1 1 0 0 0 1
1 0 0 0 1 1
1 0 0 1 0 1
0 1 1 1 1 0

# Graph 95
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 0
1 1 1 0 0 0
1 1 1 0 0 0
1 1 0 0 0 0

# Graph 96
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 0 0
1 1 1 0 0 0
1 1 0 0 0 1
1 1 0 0 1 0

# Graph 97
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 1 0
1 1 1 0 1 0
1 1 1 1 0 0
1 0 0 0 0 0

# Graph 98
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 1 0
1 1 1 0 0 1
1 1 1 0 0 0
1 0 0 1 0 0

# Graph 99
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 0 1
1 1 1 0 0 0
1 1 0 0 0 1
1 0 1 0 1 0

# Graph 100
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 0 0 1
1 1 0 0 0 1
1 1 0 0 0 1
1 0 1 1 1 0

# Graph 101
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 1 0
1 1 1 0 0 1
1 1 1 0 0 1
0 0 0 1 1 0

# Graph 102
0 1 1 1 1 0
1 0 1 1 1 0
1 1 0 1 0 1
1 1 1 0 0 1
1 1 0 0 0 1
0 0 1 1 1 0

# Graph 103
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 1
1 1 0 0 1 1
1 0 1 1 0 0
0 1 1 1 0 0

# Graph 104
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 1
1 1 1 0 0 0
1 1 1 0 0 0
1 1 1 0 0 0

# Graph 105
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 0
1 1 1 0 1 0
1 1 1 1 0 0
1 1 0 0 0 0

# Graph 106
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 0
1 1 1 0 0 1
1 1 1 0 0 0
1 1 0 1 0 0

# Graph 107
0 1 1 1 1 1
1 0 1 1 1 0
1 1 0 1 1 0
1 1 1 0 0 1
1 1 1 0 0 1
1 0 0 1 1 0

# Graph 108
0 1 1 1 1 0
1 0 1 1 0 1
1 1 0 0 1 1
1 1 0 0 1 1
1 0 1 1 0 1
0 1 1 1 1 0

# Graph 109
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 1
1 1 1 0 1 0
1 1 1 1 0 0
1 1 1 0 0 0

# Graph 110
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 0
1 1 1 0 0 1
1 1 1 0 0 1
1 1 0 1 1 0

# Graph 111
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 1
1 1 1 0 1 1
1 1 1 1 0 0
1 1 1 1 0 0

# Graph 112
0 1 1 1 1 1
1 0 1 1 1 1
1 1 0 1 1 1
1 1 1 0 1 1
1 1 1 1 0 1
1 1 1 1 1 0

